order_id,product_category,product_id,order_date,delivery_date,amount,qty,valid_delivered_qty
0,4,61,2020-01-02,2020-01-14,124972.9902822332,1.0,1.0
1,4,58,2020-01-04,2020-01-14,1202992.0365379197,4.0,4.0
2,0,12,2020-02-04,2020-02-19,3010961.318815009,5.0,5.0
3,4,46,2020-03-17,2020-03-29,5144759.150523503,25.0,12.0
4,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0
5,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0
6,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0
7,4,45,2020-07-14,2020-07-22,1080245.515413622,19.0,19.0
8,4,46,2020-07-14,2020-07-22,1667295.947316633,8.0,8.0
9,4,46,2020-07-14,2020-07-22,2561947.242865737,22.0,22.0
10,4,21,2020-07-14,2020-07-18,646660.9458122698,10.0,10.0
11,4,26,2020-07-14,2020-07-18,1777496.9652657062,10.0,10.0
12,4,45,2020-07-14,2020-07-22,573299.7889694031,6.0,6.0
13,4,45,2020-07-14,2020-07-22,284275.13563516364,5.0,5.0
14,4,0,2020-07-20,2020-07-27,884812.483951152,30.0,30.0
15,4,1,2020-07-21,2020-07-27,1267731.3925522384,15.0,15.0
16,4,47,2020-07-21,2020-08-05,3443868.465297082,10.0,10.0
17,4,43,2020-07-21,2020-08-08,1157850.731814389,10.0,10.0
18,4,46,2020-07-24,2020-08-08,369064.386373191,3.0,3.0
19,4,1,2020-07-24,2020-08-04,1686186.8805091495,20.0,20.0
20,3,73,2020-07-24,2020-07-29,742206.3103979217,480.0,480.0
21,4,21,2020-07-31,2020-08-06,646660.9458122698,10.0,10.0
22,4,26,2020-07-31,2020-08-06,1777496.9652657062,10.0,10.0
23,4,71,2020-07-31,2020-08-10,2919847.121946009,10.0,10.0
24,4,0,2020-07-31,2020-08-10,637042.1104340277,20.0,20.0
25,4,61,2020-07-31,2020-08-10,530868.4253616898,10.0,10.0
26,4,1,2020-07-31,2020-08-15,3810446.1488241223,20.0,20.0
27,4,58,2020-07-31,2020-08-10,990954.3940084876,10.0,10.0
28,4,45,2020-07-31,2020-08-08,120125.76650957012,2.0,2.0
29,4,46,2020-07-31,2020-08-08,2460429.24248794,20.0,20.0
30,4,46,2020-07-24,2020-08-08,861150.234870779,7.0,7.0
31,4,46,2020-07-24,2020-08-05,1230214.62124397,10.0,10.0
32,4,45,2020-07-31,2020-08-08,1081131.898586131,18.0,18.0
33,4,21,2020-08-11,2020-09-18,517328.7566498159,8.0,7.0
34,4,26,2020-08-11,2020-08-18,1421997.572212565,8.0,8.0
35,4,43,2020-08-11,2020-08-19,816099.1514650548,7.0,7.0
36,4,42,2020-08-11,2020-08-19,656284.3379393873,7.0,7.0
37,4,71,2020-08-11,2020-08-19,1469615.4011715495,5.0,5.0
38,4,61,2020-08-11,2020-08-19,534392.6454527949,10.0,10.0
39,4,58,2020-08-11,2020-08-19,997532.9381785503,10.0,10.0
40,4,45,2020-08-11,2020-08-20,1209562.9726927166,20.0,20.0
41,4,46,2020-08-11,2020-08-19,2477440.2654127562,20.0,20.0
42,4,47,2020-08-11,2020-08-20,3467678.8331798757,10.0,10.0
43,4,0,2020-08-17,2020-08-19,957291.4244732251,30.0,30.0
44,4,63,2020-08-17,2020-08-19,336824.76046280144,1.0,1.0
45,4,1,2020-08-17,2020-08-19,3817337.8305149646,20.0,20.0
46,4,1,2020-08-17,2020-08-19,1329571.4228794794,15.0,15.0
47,4,42,2020-08-20,2020-09-11,1500078.4867185997,16.0,16.0
48,4,43,2020-08-20,2020-08-24,2331711.861328728,20.0,20.0
49,4,26,2020-08-20,2020-09-18,2666245.4478985593,15.0,15.0
50,4,61,2020-08-24,2020-08-27,809976.3781148427,15.0,15.0
51,4,58,2020-08-24,2020-08-27,2015941.2077524972,20.0,20.0
52,4,45,2020-08-24,2020-09-04,1517283.7504348618,25.0,25.0
53,4,46,2020-08-24,2020-09-11,3729260.8410612345,30.0,30.0
54,3,73,2020-08-25,2020-08-27,778346.5480562645,480.0,480.0
55,4,48,2020-08-26,2020-08-28,35707.48905364124,1.0,1.0
56,4,1,2020-08-28,2020-09-03,1965808.0248660431,10.0,10.0
57,4,71,2020-08-28,2020-09-03,1506348.254121047,5.0,5.0
58,4,47,2020-08-28,2020-09-04,3529947.526398595,10.0,10.0
59,4,1,2020-08-28,2020-09-03,2738748.613587029,30.0,30.0
60,0,8,2020-08-31,2020-09-10,225052.37781133858,2.0,2.0
